name,country_name,region_name,star_label,location,cuisine,price,lat,lng,detail_url
밍글스,한국,서울,3스타,,,,37.52535,127.04426,https://guide.michelin.com/kr/ko/seoul-capital-area/kr-seoul/restaurant/mingles
송헌집,한국,서울,3스타,,,,35.15654,129.12146,https://guide.michelin.com/kr/ko/busan-region/busan_1025838/restaurant/songheonjip
묵정,한국,서울,3스타,,,,37.56181,127.00053,https://guide.michelin.com/kr/ko/seoul-capital-area/kr-seoul/restaurant/mukjung
소넷,한국,서울,3스타,,,,37.52628,127.03704,https://guide.michelin.com/kr/ko/seoul-capital-area/kr-seoul/restaurant/sonnet-1241886
옥돌현옥,한국,서울,3스타,,,,37.50153,127.12408,https://guide.michelin.com/kr/ko/seoul-capital-area/kr-seoul/restaurant/okdol-heyonok
레스토랑 알렌,한국,서울,2스타,,,,37.5036,127.0418,https://guide.michelin.com/kr/ko/seoul-capital-area/kr-seoul/restaurant/restaurant-allen
권숙수,한국,서울,2스타,,,,37.52437,127.04355,https://guide.michelin.com/kr/ko/seoul-capital-area/kr-seoul/restaurant/kwonsooksoo
정식당,한국,서울,2스타,,,,37.525584,127.041069,https://guide.michelin.com/kr/ko/seoul-capital-area/kr-seoul/restaurant/jungsik511965
에빗,한국,서울,2스타,,,,37.52334,127.0362,https://guide.michelin.com/kr/ko/seoul-capital-area/kr-seoul/restaurant/evett
스와니예,한국,서울,2스타,,,,37.51933,127.01903,https://guide.michelin.com/kr/ko/seoul-capital-area/kr-seoul/restaurant/soigne
알라 프리마,한국,서울,2스타,,,,37.51346,127.02602,https://guide.michelin.com/kr/ko/seoul-capital-area/kr-seoul/restaurant/alla-prima
미토우,한국,서울,2스타,,,,37.52206,127.04502,https://guide.michelin.com/kr/ko/seoul-capital-area/kr-seoul/restaurant/mitou
모수,한국,서울,2스타,,,,37.54115,126.99615,https://guide.michelin.com/kr/ko/seoul-capital-area/kr-seoul/restaurant/mosu
소수헌,한국,서울,2스타,,,,37.55294,126.9634,https://guide.michelin.com/kr/ko/seoul-capital-area/kr-seoul/restaurant/sosuheon
라연,한국,서울,2스타,,,,37.555813,127.00517,https://guide.michelin.com/kr/ko/seoul-capital-area/kr-seoul/restaurant/la-yeon
송헌집,한국,서울,2스타,,,,35.15654,129.12146,https://guide.michelin.com/kr/ko/busan-region/busan_1025838/restaurant/songheonjip
묵정,한국,서울,2스타,,,,37.56181,127.00053,https://guide.michelin.com/kr/ko/seoul-capital-area/kr-seoul/restaurant/mukjung
소넷,한국,서울,2스타,,,,37.52628,127.03704,https://guide.michelin.com/kr/ko/seoul-capital-area/kr-seoul/restaurant/sonnet-1241886
옥돌현옥,한국,서울,2스타,,,,37.50153,127.12408,https://guide.michelin.com/kr/ko/seoul-capital-area/kr-seoul/restaurant/okdol-heyonok
이타닉 가든,한국,서울,1스타,,,,37.50304,127.04158,https://guide.michelin.com/kr/ko/seoul-capital-area/kr-seoul/restaurant/eatanic-garden
꼴라쥬,한국,서울,1스타,,,,37.51619,127.03099,https://guide.michelin.com/kr/ko/seoul-capital-area/kr-seoul/restaurant/collage
하쿠시,한국,서울,1스타,,,,37.52414,127.03227,https://guide.michelin.com/kr/ko/seoul-capital-area/kr-seoul/restaurant/hakusi
무오키,한국,서울,1스타,,,,37.51896,127.04222,https://guide.michelin.com/kr/ko/seoul-capital-area/kr-seoul/restaurant/muoki
무니,한국,서울,1스타,,,,37.52291,127.04545,https://guide.michelin.com/kr/ko/seoul-capital-area/kr-seoul/restaurant/muni
익스퀴진,한국,서울,1스타,,,,37.5211374,127.04969,https://guide.michelin.com/kr/ko/seoul-capital-area/kr-seoul/restaurant/exquisine
스시 카네사카,한국,서울,1스타,,,,37.50904,127.06089,https://guide.michelin.com/kr/ko/seoul-capital-area/kr-seoul/restaurant/sushi-kanesaka-1244365
기와강,한국,서울,1스타,,,,37.52107,127.02893,https://guide.michelin.com/kr/ko/seoul-capital-area/kr-seoul/restaurant/giwakang
강민철 레스토랑,한국,서울,1스타,,,,37.5249,127.04365,https://guide.michelin.com/kr/ko/seoul-capital-area/kr-seoul/restaurant/kang-minchul-restaurant
가겐 바이 최준호,한국,서울,1스타,,,,37.52451,127.04523,https://guide.michelin.com/kr/ko/seoul-capital-area/kr-seoul/restaurant/gaggen
세븐스도어,한국,서울,1스타,,,,37.52237,127.05429,https://guide.michelin.com/kr/ko/seoul-capital-area/kr-seoul/restaurant/7th-door
빈호,한국,서울,1스타,,,,37.51866,127.03814,https://guide.michelin.com/kr/ko/seoul-capital-area/kr-seoul/restaurant/vinho
레귬,한국,서울,1스타,,,,37.51938,127.01932,https://guide.michelin.com/kr/ko/seoul-capital-area/kr-seoul/restaurant/legume
솔밤,한국,서울,1스타,,,,37.516,127.03378,https://guide.michelin.com/kr/ko/seoul-capital-area/kr-seoul/restaurant/solbam
스시 마츠모토,한국,서울,1스타,,,,37.52535,127.04573,https://guide.michelin.com/kr/ko/seoul-capital-area/kr-seoul/restaurant/sushi-matsumoto-1195338
윤서울,한국,서울,1스타,,,,37.52416,127.03906,https://guide.michelin.com/kr/ko/seoul-capital-area/kr-seoul/restaurant/yun
고료리 켄,한국,서울,1스타,,,,37.52298,127.03478,https://guide.michelin.com/kr/ko/seoul-capital-area/kr-seoul/restaurant/goryori-ken
라미띠에,한국,서울,1스타,,,,37.52591,127.04455,https://guide.michelin.com/kr/ko/seoul-capital-area/kr-seoul/restaurant/l-amitie
이스트,한국,서울,1스타,,,,37.5263,127.03556,https://guide.michelin.com/kr/ko/seoul-capital-area/kr-seoul/restaurant/y-east
제로 컴플렉스,한국,서울,1스타,,,,37.52079,126.99285,https://guide.michelin.com/kr/ko/seoul-capital-area/kr-seoul/restaurant/zero-complex
비채나,한국,서울,1스타,,,,37.5126,127.10253,https://guide.michelin.com/kr/ko/seoul-capital-area/kr-seoul/restaurant/bicena
레스토랑 산,한국,서울,1스타,,,,37.52631,127.03391,https://guide.michelin.com/kr/ko/seoul-capital-area/kr-seoul/restaurant/san
에스콘디도,한국,서울,1스타,,,,37.53517,127.01046,https://guide.michelin.com/kr/ko/seoul-capital-area/kr-seoul/restaurant/escondido
소설한남,한국,서울,1스타,,,,37.53528,127.00914,https://guide.michelin.com/kr/ko/seoul-capital-area/kr-seoul/restaurant/soseoul-hannam
뛰뚜아멍,한국,서울,1스타,,,,37.54969,127.0666,https://guide.michelin.com/kr/ko/seoul-capital-area/kr-seoul/restaurant/tutoiement
소울,한국,서울,1스타,,,,37.54533,126.98443,https://guide.michelin.com/kr/ko/seoul-capital-area/kr-seoul/restaurant/soul-dining
라망 시크레,한국,서울,1스타,,,,37.55983,126.97949,https://guide.michelin.com/kr/ko/seoul-capital-area/kr-seoul/restaurant/l-amant-secret
기가스,한국,서울,1스타,,,,37.55696,126.97809,https://guide.michelin.com/kr/ko/seoul-capital-area/kr-seoul/restaurant/gigas
온지음,한국,서울,1스타,,,,37.58048,126.97345,https://guide.michelin.com/kr/ko/seoul-capital-area/kr-seoul/restaurant/onjium
레스토랑 주은,한국,서울,1스타,,,,37.57276,126.96991,https://guide.michelin.com/kr/ko/seoul-capital-area/kr-seoul/restaurant/restaurant-jueun
유 유안,한국,서울,1스타,,,,37.57049,126.97545,https://guide.michelin.com/kr/ko/seoul-capital-area/kr-seoul/restaurant/yu-yuan
송헌집,한국,서울,1스타,,,,35.15654,129.12146,https://guide.michelin.com/kr/ko/busan-region/busan_1025838/restaurant/songheonjip
묵정,한국,서울,1스타,,,,37.56181,127.00053,https://guide.michelin.com/kr/ko/seoul-capital-area/kr-seoul/restaurant/mukjung
소넷,한국,서울,1스타,,,,37.52628,127.03704,https://guide.michelin.com/kr/ko/seoul-capital-area/kr-seoul/restaurant/sonnet-1241886
옥돌현옥,한국,서울,1스타,,,,37.50153,127.12408,https://guide.michelin.com/kr/ko/seoul-capital-area/kr-seoul/restaurant/okdol-heyonok
임병주 산동 칼국수,한국,서울,빕구르망,,,,37.48458,127.02988,https://guide.michelin.com/kr/ko/seoul-capital-area/kr-seoul/restaurant/limbyungjoo-sandong-kalguksu
곰탕랩,한국,서울,빕구르망,,,,37.50859,127.05971,https://guide.michelin.com/kr/ko/seoul-capital-area/kr-seoul/restaurant/gomtang-lab
3대 삼계장인,한국,서울,빕구르망,,,,37.49135,127.01155,https://guide.michelin.com/kr/ko/seoul-capital-area/kr-seoul/restaurant/3rd-samgyetang
면서울,한국,서울,빕구르망,,,,37.52416,127.03906,https://guide.michelin.com/kr/ko/seoul-capital-area/kr-seoul/restaurant/myeon-seoul
꿉당,한국,서울,빕구르망,,,,37.5166307,127.0188926,https://guide.michelin.com/kr/ko/seoul-capital-area/kr-seoul/restaurant/ggupdang
게방식당,한국,서울,빕구르망,,,,37.51727,127.03942,https://guide.michelin.com/kr/ko/seoul-capital-area/kr-seoul/restaurant/gebang-sikdang
